[INFO] 2023-02-14 08:29:57,049 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónHASH_STRING
[INFO] 2023-02-14 08:30:15,599 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónSALIR
[INFO] 2023-02-14 08:30:15,599 [main]  com.mycompany.psp_ev2_libexamen.Main main - Cerramos la apliación
[INFO] 2023-02-14 08:32:10,817 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónHASH_STRING
[INFO] 2023-02-14 08:32:24,992 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónSALIR
[INFO] 2023-02-14 08:32:24,992 [main]  com.mycompany.psp_ev2_libexamen.Main main - Cerramos la apliación
[INFO] 2023-02-14 08:36:06,438 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónHASH_STRING
[INFO] 2023-02-14 08:36:08,085 [main]  com.mycompany.psp_ev2_libexamen.managers.UIManager stringToHashedBase64 - Se va a hashear el inputasd
[INFO] 2023-02-14 08:36:08,099 [main]  com.mycompany.psp_ev2_libexamen.managers.UIManager stringToHashedBase64 - El Hash del String:asd en Base64 es:5U7n4oX7sCdSeRQ6vExVTlMU57QX7KyDpZhKlk+suq1ohmooQcPoPd8SWimFVmJhxAFPn5YOxgJTrrzalROptA==
[WARN] 2023-02-14 09:28:33,775 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 09:28:36,380 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónDES
[WARN] 2023-02-14 09:35:24,049 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 09:35:27,536 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónDES
[INFO] 2023-02-14 09:35:27,648 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager generateSecretKey - La key simetrica generada es:com.sun.crypto.provider.DESKey@fffe7afe
[WARN] 2023-02-14 09:35:44,250 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 09:35:45,972 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónDES
[INFO] 2023-02-14 09:35:46,050 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager generateSecretKey - La key simetrica generada es:com.sun.crypto.provider.DESKey@fffe7bef
